NAME,Lat,Lon,Date,Time,Load
Ashford St & Livonia Av At Sw Corner,40.66628133,-73.88329,,,1
Shepherd Ave & Pitkin Ave At Se Corner,40.67400133,-73.880665,,,1
Euclid Ave & Pitkin Ave At Sw Corner,40.67526833,-73.872087,,,1
Euclid Ave & Pitkin Ave At Nw Corner,40.67548833,-73.872086,,,1
Starr St & Wyckoff Ave At Se Corner,40.70601433,-73.922119,,,1
Dekalb Ave & Wycoff Ave At Se Corner,40.70415333,-73.919273,,,1
Stanhope St & Wycoff Ave At Sw Corner,40.70334233,-73.917959,,,1
Stanhope St & Wycoff Ave At Ne Corner,40.70346133,-73.917606,,,1
Jefferson St & Wyckoff Ave At Nw Corner,40.70724233,-73.923723,,,1
Starr St & Wyckoff Ave At Ne Corner,40.70621633,-73.921931,,,1
Forest Ave & Myrtle Ave At Nw Corner,40.70481633,-73.902208,,,1
62nd St & 67th Ave At Se Corner,40.70611538,-73.8955591,,,1
Britton Ave & Broadway At Nw Corner,40.74294533,-73.882701,,,1
126th St & Roosevelt Ave At Nw Corner,40.7548279,-73.84580039,,,1
126th St & Roosevelt Ave At Sw Corner,40.75423698,-73.84601379,,,1
64th Rd & Queens Blvd At Nw Corner,40.72932524,-73.85955373,,,1
75th St & Jamaica At Nw Corner,40.69147144,-73.86659544,,,1
104th St & Jamaica Ave At Ne Corner,40.69526863,-73.84329543,,,1
Van Wyck Expwy & 89th Ave At Sw Corner,40.70120445,-73.81641338,,,1
Flushing Ave & Broadway At Se Corner,40.7006296,-73.94199502,,,1
Halsey St & Wycoff Ave At Sw Corner (To Canarsie Only),40.69571257,-73.90526431,,,1
Utica Ave & Fulton St At Nw Corner,40.6794871,-73.92972549,,,1
Washington Ave & Lafayette Ave At Ne Corner,40.68835813,-73.96567001,,,1
Clinton Ave & Lafayette Ave At Sw Corner,40.68783351,-73.96788613,,,1
Bedford Ave & Lafayette Ave At Se Corner,40.68933096,-73.95496904,,,1
Bedford Ave & Lafayette Ave At Nw Corner,40.68955303,-73.95528961,,,1
Utica Ave & Eastern Pkwy At Se Corner,40.6686647,-73.93072282,,,1
St. Pauls Pl & Caton Ave At Se Corner,40.65145808,-73.96283996,,,1
8th St & Surf Ave At Nw Corner,40.57549885,-73.9769987,,,1
4th Ave & 10th St At Nw Corner,40.66985071,-73.98947403,,,1
Mcdonald Ave & Avenue J At Nw Corner,40.62452814,-73.97615661,,,1
Main St & Utah St At Nw Corner,40.51321563,-74.25096684,,,1
Tracy Av & Arthur Kill Rd At Nw Corner,40.51538868,-74.24543269,,,1
90th St & Roosevelt Ave At Nw Corner,40.74854733,-73.876576,,,1
Woodhaven Blvd & Queens Blvd At Sw Corner,40.73333033,-73.870973,,,1
Horace Harding Expwy & Queens Blvd At Ne Corner,40.73321333,-73.868733,,,1
103rd St & Roosevelt Ave At Se Corner,40.74977733,-73.862303,,,1
67th Ave & Queens Blvd At Se Corner,40.72659533,-73.853492,,,1
71st & Queens Blvd At Ne Corner,40.72149633,-73.843382,,,1
Union Tpke & Queens Blvd At Se Corner,40.71397033,-73.831328,,,1
75th & Queens Blvd At Nw Corner (To Manhattan And Brooklyn Only),40.71902353,-73.8379844,,,1
Union Tpke & Queens Blvd At Nw Corner,40.71492833,-73.831485,,,1
Main St & Roosevelt Ave At Se Corner,40.75939033,-73.82991,,,1
Main St & Roosevelt Ave At Ne Corner,40.75971033,-73.829962,,,1
Van Wyck Blvd & Queens Blvd At Sw Corner (To Jamaica Only),40.70809233,-73.8201,,,1
Van Wyck Expwy & Jamaica Ave At Nw Corner,40.70266133,-73.817191,,,1
Sutphin Blvd & Archer Ave At Nw Corner,40.70076833,-73.807894,,,1
Sutphin Blvd & Hillside Ave At Se Corner,40.70565033,-73.809491,,,1
153rd St & Hillside Ave At Sw Corner,40.70709133,-73.804491,,,1
Parsons Blvd & Hillside Ave At Sw Corner,40.70755533,-73.802796,,,1
168th St & Hillside Ave At Nw Corner,40.71014733,-73.794915,,,1
169th St & Hillside Ave At Nw Corner,40.71082133,-73.793213,,,1
169th St & Hillside Ave At Ne Corner,40.71094733,-73.792948,,,1
179th St & Hillside Ave At Sw Corner,40.71233533,-73.784501,,,1
179th St & Hillside Ave At Se Corner,40.71240033,-73.784304,,,1
180th St & Hillside Ave At Nw Corner,40.71290833,-73.783314,,,1
180th St & Hillside Ave At Sw Corner,40.71277633,-73.782652,,,1
Beach 22nd St & Mott Ave At Sw Corner,40.60474078,-73.75417282,,,1
Beach 106th St & Rockaway Frwy At Nw Corner,40.58308533,-73.827577,,,1
Beach 106th St & Rockaway Frwy At Nw Corner,40.58349133,-73.827166,,,1
Beach 98th St & Rockaway Frwy At Nw Corner,40.58557133,-73.820295,,,1
Beach 67th St & Rockaway Frwy At Sw Corner,40.59084033,-73.796585,,,1
Beach 69th St & Rockaway Frwy At Se Corner,40.59117633,-73.7961,,,1
Beach 59th Sr & Rockaway Frwy At Sw Corner,40.59223133,-73.78915,,,1
Beach 45th St & Edgemere Ave At Sw Corner,40.59282633,-73.776165,,,1
Beach 45th St & Edgemere Ave At Ne Corner,40.59309234,-73.776047,,,1
Beach 35th & Rockaway Frwy At Sw Corner,40.59541233,-73.767885,,,1
Alabama Av & Fulton St At Se Corner,40.67676933,-73.899586,,,1
Turnbull Ave & E 105th St At Se Corner,40.65142085,-73.89917839,,,1
8th Ave & 14th St At Sw Corner,40.73973433,-74.002804,,,1
8th Ave & 14th St At Nw Corner,40.73994933,-74.002655,,,1
8th Ave & 14th St At Ne Corner,40.73977633,-74.002256,,,1
8th Ave & 15th St At Ne Corner,40.74041933,-74.001762,,,1
8th Ave & 16th St At Se Corner,40.74094433,-74.001402,,,1
8th Ave & 16th St At Ne Corner,40.74105733,-74.001308,,,1
Fulton St & Nassau St At Ne Corner,40.71020733,-74.007562,,,1
8th Ave & 23rd St At Sw Corner,40.74527833,-73.998771,,,1
8th Ave & 23rd St At Nw Corner,40.74550533,-73.998642,,,1
6th Ave & 14th St At Sw Corner,40.73742333,-73.99722,,,1
6th Ave & 14th St At Nw Corner,40.73757233,-73.997111,,,1
6th Ave & 14th St At Se Corner,40.73719733,-73.996704,,,1
6th Ave & 14th St At Se Corner,40.73714933,-73.996578,,,1
6th Ave & 14th St At Ne Corner,40.73728633,-73.996437,,,1
6th Ave & 16th St At Se Corner,40.73852933,-73.995685,,,1
4th Ave & 14th St At Sw Corner,40.73447433,-73.990173,,,1
Broadway & 14th St At Sw Corner,40.73489133,-73.991277,,,1
4th Ave & 15th St At Sw Corner,40.73534433,-73.990283,,,1
Broadway & 16th St At Ne Corner,40.73652333,-73.990447,,,1
7th Ave & 18th St At Nw Corner (Downtown Only),40.74120633,-73.998035,,,1
7th Ave & 18th St At Se Corner (Uptown Only),40.74092033,-73.997698,,,1
7th Ave & 18th St At Nw Corner (Downtown Only),40.74178333,-73.997557,,,1
7th Ave & 18th St At Ne Corner (Uptown Only),40.74161733,-73.997197,,,1
8th Ave & 23rd St At Ne Corner,40.74529933,-73.998145,,,1
8th Ave & 24th St At Nw Corner,40.74611033,-73.998145,,,1
8th Ave & 25th St At Sw Corner,40.74660333,-73.997801,,,1
Church St & Warren St At Se Corner,40.71420033,-74.008357,,,1
Broadway & Warren St At Ne Corner,40.71343733,-74.00676,,,1
8th Ave & 25th St At Nw Corner,40.74673233,-73.997711,,,1
8th Ave & 25th St At Ne Corner,40.74648333,-73.997142,,,1
7th Ave & 23rd St At Se Corner (Uptown Only),40.74391033,-73.995608,,,1
7th Ave & 23rd St At Nw Corner (Downtown Only),40.74431333,-73.995811,,,1
7th Ave & 23rd St At Ne Corner (Uptown Only),40.74412033,-73.995348,,,1
6th Ave & 23rd St At Nw Corner (Downtown Only),40.74312133,-73.993099,,,1
8th Ave & 33rd St At Sw Corner,40.75156133,-73.994243,,,1
7th Ave & 28th St At Sw Corner (Downtown Only),40.74726433,-73.993611,,,1
7th Ave & 28th St At Ne Corner (Uptown Only),40.74721633,-73.993121,,,1
7th Ave & 33rd St At Nw Corner,40.75047633,-73.991254,,,1
7th Ave & 34th St At Se Corner,40.75081033,-73.990481,,,1
