Name,Lat,Lon,Date,Time,Load
B02584,40.745831,-73.934209,,,1
B00882,40.797781,-73.934114,,,1
B02775,40.754317,-73.93347,,,1
B01467,40.754609,-73.933483,,,1
B01087,40.738182,-73.933831,,,1
B01737,40.844436,-73.933591,,,1
B01197,40.753039,-73.933542,,,1
B02333,40.746359,-73.932979,,,1
B02493,40.746123,-73.933095,,,1
B02593,40.74622,-73.93295,,,1
B00236,40.746208,-73.933242,,,1
B01367,40.746154,-73.933244,,,1
B02680,40.745971,-73.933343,,,1
B01734,40.794904,-73.933279,,,1
B90413,40.653683,-73.932401,,,1
B00334,40.846957,-73.931753,,,1
B01413,40.740299,-73.931616,,,1
B02789,40.754511,-73.931447,,,1
B01273,40.694484,-73.931375,,,1
B00221,40.850385,-73.931149,,,1
B80222,40.624058,-73.930968,,,1
B01343,40.650465,-73.930256,,,1
B00975,40.642077,-73.930121,,,1
B01264,40.767098,-73.930051,,,1
B00220,40.639744,-73.929846,,,1
B02769,40.639744,-73.929831,,,1
B00887,40.745996,-73.929432,,,1
B02465,40.746164,-73.92927,,,1
B02390,40.746138,-73.929466,,,1
B02415,40.746174,-73.929275,,,1
B01768,40.808175,-73.929213,,,1
B01848,40.755888,-73.929204,,,1
B00227,40.755141,-73.928728,,,1
B01733,40.614244,-73.928716,,,1
B01875,40.815435,-73.928653,,,1
B00937,40.85629,-73.928623,,,1
B02408,40.759199,-73.927622,,,1
B02669,40.759183,-73.927533,,,1
B02716,40.745906,-73.92736,,,1
B01349,40.745632,-73.927282,,,1
B02377,40.810842,-73.927635,,,1
B90275,40.624585,-73.92747,,,1
B00693,40.703957,-73.927055,,,1
B02080,40.704116,-73.926827,,,1
B02472,40.703994,-73.926775,,,1
B02195,40.837125,-73.927018,,,1
B01083,40.864937,-73.926871,,,1
B02717,40.698151,-73.926213,,,1
B01194,40.698051,-73.926519,,,1
B02776,40.77157,-73.926479,,,1
B02533,40.747558,-73.926249,,,1
B00789,40.747528,-73.926265,,,1
B02379,40.838256,-73.92633,,,1
B02541,40.743279,-73.926056,,,1
B02155,40.743383,-73.925968,,,1
B02277,40.752095,-73.925887,,,1
B01995,40.745431,-73.925859,,,1
B01129,40.608452,-73.924638,,,1
B01506,40.771719,-73.924197,,,1
B90705,40.651188,-73.92356,,,1
B01454,40.686708,-73.923479,,,1
B02121,40.609936,-73.922281,,,1
B01222,40.755035,-73.921881,,,1
B02507,40.817036,-73.921429,,,1
B02653,40.846376,-73.921261,,,1
B00811,40.840549,-73.920512,,,1
B02637,40.754279,-73.920269,,,1
B00906,40.775301,-73.919987,,,1
B01103,40.741252,-73.919887,,,1
B00536,40.634017,-73.919558,,,1
B02687,40.64053,-73.918952,,,1
B90058,40.640772,-73.918982,,,1
B01536,40.868226,-73.919362,,,1
B02668,40.704134,-73.918933,,,1
B02552,40.830189,-73.918555,,,1
B02306,40.739168,-73.918298,,,1
B01200,40.689548,-73.918244,,,1
B02784,40.641152,-73.918054,,,1
B90335,40.702473,-73.917535,,,1
B01489,40.780808,-73.917312,,,1
B01843,40.758144,-73.917257,,,1
B00039,40.802461,-73.917213,,,1
B02699,40.736296,-73.917212,,,1
B01285,40.846379,-73.917212,,,1
B01389,40.805397,-73.916223,,,1
B01145,40.82918,-73.916056,,,1
B00932,40.694981,-73.915684,,,1
B00860,40.869093,-73.915539,,,1
B01392,40.744562,-73.915361,,,1
B02539,40.655783,-73.915341,,,1
B01436,40.745987,-73.915273,,,1
B01594,40.778913,-73.914258,,,1
B02336,40.779085,-73.914235,,,1
B02206,40.701773,-73.914313,,,1
B02427,40.701685,-73.914138,,,1
B01362,40.814717,-73.914322,,,1
B02667,40.781497,-73.9137,,,1
B01639,40.846618,-73.913106,,,1
B01131,40.769128,-73.91276,,,1
B90619,40.648452,-73.912582,,,1
B00992,40.767525,-73.912025,,,1
B01381,40.769108,-73.911398,,,1
B01616,40.76918,-73.911239,,,1
B01215,40.762299,-73.911624,,,1
B01717,40.861161,-73.911402,,,1
B90010,40.671518,-73.911189,,,1
B80191,40.642588,-73.911159,,,1
B01265,40.744781,-73.91037,,,1
B01386,40.704545,-73.909841,,,1
B02563,40.704468,-73.910153,,,1
B02594,40.70465,-73.910074,,,1
B00850,40.825262,-73.910254,,,1
B02037,40.881102,-73.909892,,,1
B00375,40.845209,-73.909681,,,1
B02437,40.845133,-73.90962,,,1
B01196,40.862122,-73.909221,,,1
B00078,40.803036,-73.908832,,,1
B90622,40.650837,-73.90881,,,1
B01963,40.656381,-73.908319,,,1
B90634,40.63588,-73.908293,,,1
B00095,40.703009,-73.90801,,,1
B01726,40.847563,-73.90785,,,1
B02032,40.836458,-73.907272,,,1
B01328,40.751107,-73.906416,,,1
B02243,40.750908,-73.906584,,,1
B02671,40.697024,-73.906626,,,1
B02200,40.752013,-73.906491,,,1
B00387,40.779619,-73.906456,,,1
B00501,40.887306,-73.906407,,,1
B02537,40.879691,-73.906379,,,1
B01876,40.811399,-73.905208,,,1
B02481,40.765097,-73.904994,,,1
B02611,40.76533,-73.904743,,,1
B02645,40.76536,-73.90483,,,1
B90333,40.879015,-73.904408,,,1
B02302,40.76372,-73.904046,,,1
B02373,40.763612,-73.904124,,,1
B02500,40.763768,-73.903918,,,1
B02674,40.763741,-73.90382,,,1
B02480,40.763902,-73.904049,,,1
B02145,40.677128,-73.903532,,,1
B01739,40.668141,-73.903429,,,1
B00280,40.749905,-73.903311,,,1
B02550,40.812383,-73.903234,,,1
B01964,40.770737,-73.903082,,,1
B01234,40.868968,-73.902838,,,1
B02634,40.869242,-73.902831,,,1
B00056,40.64546,-73.902662,,,1
B80164,40.75081,-73.902082,,,1
B01514,40.776105,-73.902074,,,1
B01326,40.780515,-73.901826,,,1
B02360,40.780582,-73.901662,,,1
B02495,40.749113,-73.901803,,,1
B02722,40.757332,-73.901562,,,1
B02499,40.757184,-73.901669,,,1
B90139,40.648215,-73.90153,,,1
B02217,40.71544,-73.901395,,,1
B02404,40.752183,-73.899796,,,1
B02432,40.740345,-73.899744,,,1
B00548,40.712611,-73.898636,,,1
B90487,40.779014,-73.898517,,,1
B02107,40.830266,-73.898262,,,1
B01236,40.779626,-73.897805,,,1
B02339,40.775965,-73.897153,,,1
B02609,40.776137,-73.896835,,,1
B00459,40.678872,-73.895936,,,1
B02456,40.737703,-73.895657,,,1
B02457,40.737877,-73.895814,,,1
B00889,40.750636,-73.895572,,,1
B01088,40.738354,-73.895504,,,1
B02369,40.72752,-73.895485,,,1
B02140,40.738334,-73.895378,,,1
B90708,40.934693,-73.894955,,,1
B01674,40.735435,-73.894892,,,1
B90028,40.678907,-73.894703,,,1
B00983,40.637358,-73.893637,,,1
B01081,40.648351,-73.892267,,,1
B90594,40.648305,-73.892308,,,1
B02334,40.703138,-73.892652,,,1
B01468,40.828176,-73.891702,,,1
B02546,40.827806,-73.89151,,,1
B90363,40.648437,-73.891416,,,1
B00948,40.672743,-73.890182,,,1
B01051,40.819554,-73.889517,,,1
B90574,40.77151,-73.889437,,,1
B00911,40.856355,-73.889094,,,1
B01979,40.634241,-73.889002,,,1
B90680,40.81248,-73.888838,,,1
B02538,40.812589,-73.887884,,,1
B02249,40.75927,-73.887776,,,1
B00856,40.664207,-73.887755,,,1
B90099,40.751507,-73.887265,,,1
B01282,40.664596,-73.886861,,,1
B02613,40.679341,-73.886573,,,1
B00955,40.755918,-73.886123,,,1
B02612,40.7561,-73.886209,,,1
B02127,40.765925,-73.885526,,,1
B02551,40.765873,-73.885426,,,1
